"","condition","other_party","other_attitude","Q1.attT1_1","Q2.att_1","Q3.receparg","Q4.recepoarg","Q5.recepgen","Q6.recepogen","Q7.valueco","Q7.valuewv","Q8.valuemoral","Q9.compcheck","Q11.similarlib","Q11.similarcons","Q11.conslibotherMC","Q12.importance","dem.ideology","dem.state","dem.gender","dem.gender_TEXT","dem.age","dem.eth_1","dem.eth_2","dem.eth_3","dem.eth_4","dem.eth_5","dem.eth_6","dem.eth_7","optin_1","optin_2","optin_3","FR.question","Exclude"
"191","PT","liberal","in support of",40,40,2,4,3,3,5,5,7,1,6,2,4,4,4,"South Carolina",1,"",23,NA,NA,NA,NA,NA,1,NA,1,1,1,"Its morally the right thing to do to support other people's healthcare in our country, and we should do so. Some anecdote about how AHA has helped them or someone they know.",""
"192","control","conservative","against",100,100,3,5,3,3,4,5,7,1,7,3,5,7,2,"Idaho",2,"",40,NA,NA,NA,NA,NA,NA,1,1,1,1,"Will lead to lower quality healthcare because everyone needs to be cared for and the system overrun.",""
"193","PT","conservative","against",100,100,2,4,2,4,7,7,7,1,5,4,6,6,1,"Pennsylvania",1,"",19,NA,NA,NA,NA,NA,1,NA,1,1,1,"Healthcare is a matter of individual responsibility. Individuals are in most cases responsible for their own well being due to their choices in diet and lifestyle. Society shouldn't have to foot the bill for someone who chooses to eat McDonalds every night. ",""
"194","control","conservative","against",100,100,4,6,1,1,3,2,3,1,6,4,6,7,1,"Nebraska",2,"",35,NA,NA,NA,NA,NA,1,NA,1,NA,1,"It will make the health care insurance industry disappear and millions will lose thier jobs. I think they are 5% of work force so we need to make sure they don't all lose jobs",""
"195","PT","conservative","against",100,100,1,2,2,2,7,7,7,1,6,2,5,7,1,"Texas",2,"",34,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"it will be too expensive to implement, and people will encourage people to mooch off of the system by not working.",""
"196","control","conservative","against",100,100,5,5,4,4,4,6,6,1,3,3,5,6,2,"California",1,"",26,NA,NA,NA,NA,NA,1,NA,1,1,NA,"Costs will go up for those already paying for healthcare. Making it more difficult for them to survive financially. ",""
"197","control","conservative","in support of",45,51,3,7,7,7,1,1,1,1,4,4,4,6,4,"MN",1,"",18,NA,NA,NA,NA,NA,1,NA,1,NA,1,"Everyone should be allowed the same opportunities to be healthy. Everybody should have the promise of getting help. All people are equal, poor and wealthy.",""
"198","PT","conservative","against",100,100,3,3,4,4,5,7,7,1,6,5,7,7,2,"Kentucky ",2,"",28,NA,NA,NA,NA,NA,1,NA,1,1,1,"Why should my tax dollars go to fund those not as well off as me? / Why should I pay for illegal immigrants to get healthcare?  / I pay x amount for healthcare and why can’t everyone else do the same? It’s not poverty if they can just go get a 3rd part time minimum wage job to secure the funds to live and thrive?",""
"199","control","conservative","against",100,100,4,3,2,2,5,5,5,1,7,1,5,7,1,"Arizona",2,"",21,NA,NA,1,NA,NA,1,NA,1,1,1,"One argument anti UHS supporters have is that the quality of care would decrease. For example, doctors would be so overloaded they would spend less time with patients, longer wait times, etc.",""
"200","control","liberal","in support of",0,0,3,3,4,4,4,4,4,1,5,6,2,4,7,"PA",1,"",24,NA,NA,NA,NA,NA,1,NA,1,1,1,"One of the few arguments in favor of universal health care is simply that more people will be covered. This means more people will have access, however it completely ignores quality and cost issues that arise from universality.",""
"201","PT","conservative","against",80,80,2,2,2,3,5,5,6,1,6,3,5,6,2,"Ohio",2,"",26,NA,NA,NA,NA,NA,1,NA,1,1,1,"the belief that it is too expensive and will negatively impact taxes. Another reason may be that it will increase wait times and decrease quality of care.",""
"202","PT","conservative","against",85,85,2,4,3,3,6,6,5,1,5,2,6,5,3,"PA",1,"",35,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"It is not the government's job to provide health care and doing so would infringe upon private enterprise. ",""
"203","control","liberal","in support of",32,41,6,7,5,7,3,3,2,1,6,6,2,3,5,"ME",2,"",18,NA,1,NA,NA,NA,1,NA,1,1,1,"Everyone who needs healthcare will have access to it.  This will resolve issues such as people not scheduling appointments because of cost, people not being able to have surgeries or treatments that are necessary, etc.",""
"204","control","conservative","against",100,100,4,4,1,2,7,7,7,1,4,2,6,7,3,"Michigan",1,"",26,NA,1,NA,NA,NA,1,NA,1,1,1,"That the United States allegedly ""cannot afford it"".",""
"205","PT","conservative","against",100,100,1,1,1,1,7,7,7,1,7,1,6,7,1,"Pennsylvania",2,"",29,NA,NA,NA,NA,NA,1,NA,1,1,NA,"His tax money shouldn't go toward other people who can't afford their own healthcare. He pays for his healthcare, and so should everyone else.",""
"206","control","liberal","in support of",6,6,5,6,5,5,7,6,7,1,2,3,3,3,6,"Michigan",1,"",20,NA,NA,NA,NA,NA,NA,1,1,1,1,"Everybody would get the healthcare that they need, and that is the morally correct thing to do. Healthcare is a human right, regardless of income or class",""
"207","PT","conservative","against",85,85,4,4,3,3,4,5,4,1,5,4,5,7,2,"Massachusetts",2,"",22,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"One argument against implementing universal healthcare in America is that it may increase wait times for healthcare needs and decrease the quality of that healthcare. Often Canada and the U.K. are used as examples of countries with universal healthcare that have long wait times. ",""
"208","control","conservative","against",98,100,3,4,3,3,6,4,4,1,6,3,7,7,2,"UT",2,"",25,NA,NA,NA,NA,NA,1,NA,1,1,1,"One argument against universal healthcare is that taxes may increase because of the expenses of making sure that everyone is covered. This may also create higher premiums (at least initially) because nobody can be turned away for healthcare, so everyone has the pay into that risk pool. ",""
"209","PT","conservative","against",100,100,3,3,1,1,5,4,5,1,6,2,5,7,2,"Colorado",1,"",23,NA,NA,NA,NA,NA,1,NA,1,1,1,"Insurance companies will go out of business if we have UHC. People employed by these companies would lose their jobs.",""
"210","control","conservative","against",90,90,3,5,4,6,6,6,4,1,6,4,5,6,2,"Virginia",1,"",31,NA,NA,1,NA,NA,NA,NA,1,1,1,"The initial cost would be to high. The US would need to accept significant deficits to, and other countries, such as Japan, haven't shown that they can ever pay off the deficits accrued by the initial investment. ",""
"211","PT","conservative","against",100,100,2,2,2,2,6,6,7,1,5,3,6,7,1,"Texas",2,"",29,NA,NA,NA,NA,NA,1,NA,1,1,1,"Taxes will go up, because a) money going to government not insurers; b) no competition from insurers to keep premiums lower; c) people abusing the healthcare system if it is free. ",""
"212","PT","conservative","against",75,75,4,4,4,4,5,5,5,1,5,3,5,5,2,"Michigan",1,"",18,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"Universal healthcare is expensive. UHC would involve the government spending millions of taxpayer dollars and probably raising taxes.",""
"213","control","conservative","against",100,100,2,2,1,1,6,6,7,1,2,1,6,7,1,"California",1,"",22,NA,1,NA,NA,NA,NA,NA,1,1,NA,"the increase in the federal budget required to support it",""
"214","control","conservative","against",100,100,5,5,4,3,7,7,7,1,5,2,6,7,3,"Missouri ",2,"",22,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"The tax burden. With most people not be paid a living wage as it is, more taxes could be devastating for those living paycheck to paycheck. ",""
"215","control","liberal","against",85,84,4,4,3,3,1,1,2,1,4,4,3,5,5,"Georgia",1,"",49,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"How will.the.cost be covered. Taxes really are too high. Addiding additional tax will not be a viable.option / ",""
"216","PT","conservative","against",100,100,5,5,1,1,7,7,7,1,6,2,6,7,2,"North Carolina",1,"",37,NA,NA,NA,NA,NA,1,NA,1,1,NA,"There is a potential for higher taxes, costing them more money. Or a possible concern that their money is going to be wasted. ",""
"217","PT","conservative","against",100,100,3,4,2,2,5,6,7,1,6,2,5,7,1,"KS",2,"",23,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"The rise in taxes that would occur in order to be able to federally fund universal healthcare. For it to be implemented taxes would be increased on everyone like they are in Canada/Sweden/other countries with UHC and it would be likely a need here as well. ",""
"218","control","conservative","against",100,100,2,2,1,2,6,7,7,1,6,4,6,7,2,"ND",2,"",34,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"Healthy people contribute even though they don't use as much healthcare as a sick person does. ",""
"219","PT","conservative","against",94,96,3,2,2,3,5,4,6,1,6,4,5,5,1,"Washington DC",2,"",27,NA,NA,NA,NA,NA,1,NA,1,NA,1,"Those who are not contributing members of society do not deserve the same protections afforded to working members of the society. Non-working members of society are lazy and will take advantage of the system. ",""
"220","PT","liberal","against",70,70,5,5,4,4,5,3,5,1,3,5,2,5,5,"Ohio",2,"",27,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"It is far too expensive to pay for universal healthcare and it would be bad for the economy. Healthcare is not a human right. ",""
"221","control","conservative","against",100,100,3,4,2,4,7,7,7,1,4,2,5,7,1,"AZ",2,"",22,NA,NA,1,NA,NA,NA,NA,1,1,1,"Wealthy or moderately wealthy people will have to pay more taxes to support the system of universal healthcare. This will lead to less money left in their pockets to invest in their businesses.",""
"222","control","conservative","against",95,95,3,4,3,3,5,4,5,1,5,3,4,6,3,"MA",2,"",30,NA,NA,NA,NA,NA,1,NA,1,1,NA,"The needs of each group in the US are too varied to be well managed singly by the federal government. Medicaid and medicate are sufficient to reach the most needy populations, and anything further is governmental overreach and likely to be poorly implemented.",""
"223","control","conservative","against",100,100,6,6,2,2,7,7,7,1,6,2,6,6,3,"Tennessee",2,"",26,NA,NA,NA,NA,NA,1,NA,1,NA,1,"That taxpayers should not have to pay for another person's well-being. If I get sick, then I should be responsible for my treatments. If John Doe breaks his leg, I shouldn't have to cover the cost of his emergency room visit.",""
"224","PT","conservative","against",100,100,3,3,1,3,7,7,7,1,7,2,7,7,1,"Louisiana",2,"",29,NA,NA,NA,NA,NA,1,NA,1,1,1,"People should be responsible for their own health and save for potential problems. Other countries with universal health care have worse health care than the U.S. due to people taking advantage of the system.",""
"225","PT","conservative","against",100,100,1,1,1,1,7,7,7,1,7,1,7,7,3,"Massachusetts",2,"",27,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"Something about how universal healthcare will increase waiting times and how he shouldn't have to pay for anyone but himself.",""
"226","control","conservative","against",100,100,3,2,2,3,7,4,5,1,6,3,6,6,2,"Texas",2,"",23,NA,NA,NA,NA,NA,1,NA,1,1,1,"Universal health care could limit one's choice of health insurance. For the government to provide health care, they must also be selecting certain plans to provide. The consumer then has a limited option of plans to purchase. ",""
"227","PT","liberal","against",70,75,5,6,5,5,3,3,3,1,3,4,3,6,4,"NY",1,"",26,NA,NA,NA,NA,NA,1,NA,1,1,1,"That the uhs may place an unnecessary burden on the government. One may also argue that being that america is a capitalist country so should the heath system   ",""
"228","PT","conservative","against",80,80,5,5,4,4,4,5,4,1,3,4,7,6,4,"CA",2,"",32,NA,NA,1,NA,NA,NA,NA,1,1,1,"It may be extremely expensive to not only start up the program but also maintain it. Also, so many things are broken in the health care system so why throw a monkey wrench at this now. ",""
"229","control","conservative","against",100,90,2,4,3,3,6,6,7,1,6,3,5,7,2,"VA",2,"",20,NA,NA,NA,NA,NA,NA,1,1,1,1,"that the United States cannot afford the extra cost associated with transitioning to the universal/single payer system. A single payer system will increase our medical expenses per person because more people who need specialized care will use it, so everyone will have to pay those increased costs. ",""
"230","control","conservative","against",100,100,1,2,3,4,7,6,7,1,6,1,6,5,1,"Washington",2,"",25,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"People will be forced to pay for other people's medical procedures, with no benefit to themselves. Why should we do that?",""
"231","control","conservative","against",90,90,4,3,2,2,7,6,7,1,6,3,6,6,2,"South Carolina",2,"",20,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"The initial cost of implementing the system would most likely increase taxes.  Some people don't want their tax money going to strangers or people they feel don't deserve to be treated, or don't want any increase in taxes.",""
"232","PT","conservative","against",100,100,2,4,3,3,4,3,3,1,3,4,5,5,3,"Massachusetts ",2,"",31,NA,NA,1,NA,NA,1,NA,1,1,1,"They do not agree with expanding government to be in charge of health care, as it might cause decrease in quality of care (e.g. Long waiting time for treatment). ",""
"233","control","conservative","against",100,100,2,2,2,2,7,7,7,1,7,1,6,6,2,"California ",2,"",30,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"Costs are theoretically minimized in a free market system. A government run system would therefore be more expensive overall than the present system.",""
"234","control","conservative","against",100,100,4,4,4,4,3,3,3,1,5,3,5,7,2,"Georgia",2,"",31,NA,NA,1,NA,NA,1,NA,1,1,1,"People believe universal healthcare would give them less control over their own healthcare. They fear they might have to wait long periods to see a specialist, for example. ",""
"235","PT","conservative","against",100,100,2,4,2,4,7,7,7,1,6,3,6,7,2,"California",2,"",28,NA,1,NA,NA,NA,NA,NA,1,1,1,"Everyone should fend for themselves. He should not have to pay for someone else's health care. Socialism is bad. UHC might make our health care system slower, more corrupt.",""
"236","control","conservative","against",67,68,5,4,2,4,2,1,2,1,6,2,5,4,3,"NJ",2,"",25,NA,NA,NA,NA,NA,1,NA,1,1,1,"Poor bureaucratic implementation will lead to higher healthcare costs for everyone,  even those who are least able to pay",""
"237","PT","conservative","against",100,100,2,3,2,2,5,5,6,1,6,4,5,7,2,"Indiana ",2,"",30,NA,NA,NA,NA,NA,1,NA,1,1,1,"Universal health care may cost taxpayers more than they can afford, or healthy individuals may pay ""more than their share"" relative to people who have chronic health problems. Another criticism is that of potential wait times, bureaucratic red tape, or a lack of choice in seeing health care providers. ",""
"238","control","conservative","against",100,100,1,1,2,2,7,7,7,1,6,2,6,5,2,"Washington ",2,"",31,NA,NA,NA,NA,NA,1,NA,1,1,1,"Some people do not want to pay for other people’s health care.",""
"239","PT","conservative","against",100,100,2,3,2,3,5,5,5,1,7,2,5,7,1,"California",2,"",30,NA,NA,NA,NA,NA,1,NA,1,1,1,"My healthcare is important to me, and I value being able to choose my own insurance and health care provider.  I'm not comfortable being forced into a one-size-fits-all healthcare plan.",""
"240","control","conservative","against",100,100,1,3,1,1,6,4,4,1,5,1,6,7,1,"Nebraska",2,"",29,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Some people say you have to wait a long time to get in to see a doctor or that you can’t see the doctor you prefer. ",""
"241","PT","conservative","against",100,100,2,3,2,2,7,7,7,1,7,2,7,7,1,"Nebraska",2,"",23,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"Universal healthcare could increase my taxes so I have to pay more money out-of-pocket for people to receive care that they should have to pay for themselves. Universal healthcare could make it more difficult for doctors and nurses to perform their duties due to new protocol in hospitals and other medical facilities. ",""
"242","PT","conservative","against",100,100,4,5,3,4,4,1,4,1,7,4,7,7,1,"Florida",2,"",24,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"Implementing universal health care in the US will increase taxes. ",""
"243","control","conservative","against",100,100,2,2,3,3,6,6,7,1,6,3,5,7,2,"California",2,"",29,NA,NA,NA,NA,NA,1,NA,1,1,1,"I should not have to pay for the lifestyle choices that another person makes. If someone needs medical treatments because they smoke, drink, or drive recklessly, it is not my responsibility to pay for them. ",""
"244","PT","conservative","against",75,75,3,5,3,5,3,5,1,1,6,3,6,6,3,"MA",2,"",24,NA,NA,NA,NA,NA,1,NA,1,1,1,"UHC is inefficient, ineffective, and expensive. It will cost the taxpayers more than standard health insurance and cover fewer health costs. In addition, everyone will be pulling out, but not everyone will b paying in, placing a heavier tax burden on the working class.",""
"245","control","conservative","against",100,100,3,3,3,3,3,3,7,1,7,5,5,6,1,"Michigan",2,"",24,NA,NA,NA,NA,NA,1,NA,1,1,1,"Increasing access to health care could increase the demand for healthcare and stress an already overburdened system. This could cause an increase in the number of health care accidents, and could mean that the overall quality of care decreases substantially. ",""
"246","control","conservative","against",93,93,4,5,2,3,4,3,6,1,6,3,5,6,2,"Florida",2,"",23,NA,NA,NA,NA,NA,1,NA,1,1,1,"That it will not in fact reduce the current cost of healthcare. The cost of UHC is estimated to rise 2 Trillion dollars from the privatized system that we currently have. ",""
"247","PT","conservative","against",90,80,4,5,3,5,5,5,6,1,5,4,6,6,3,"Kansas",2,"",24,NA,NA,1,NA,NA,1,NA,1,1,1,"Universal healthcare will increase taxes for each individual. It should be up to each state to decide on what kind of taxes and healthcare systems they want to enforce, since individuals from differing states may value taxes and healthcare resources differently.",""
"248","control","conservative","against",98,97,1,1,3,4,7,7,7,1,4,3,5,7,1,"Massachusetts",2,"",45,NA,NA,NA,NA,NA,1,NA,1,1,1,"We should not be reaponsible for other people’s health or financial choices.",""
"249","control","conservative","against",90,88,2,3,5,5,6,3,6,1,6,3,5,6,1,"Washington",2,"",25,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"If the government subsidizes health care then there will be no market competition for pricing, and costs will increase. Some also would add that quality of care will decrease as well with decreased competition.",""
"250","PT","conservative","against",100,100,1,1,1,1,7,7,7,1,6,1,6,7,1,"OR",2,"",27,NA,NA,NA,NA,NA,1,NA,1,1,1,"Opponents of universal healthcare might argue that as a policy, it forces certain people to purchase/pay for via taxes a product that they do not use (e.g. young, healthy people).",""
"251","control","conservative","against",80,80,4,5,4,6,5,5,6,1,1,1,4,4,3,"CA",2,"",30,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Paying for universal health case means I'm paying for other people's poor life choices via my taxes to pay for universal health care. ",""
"252","PT","conservative","against",100,100,2,4,2,4,7,7,7,1,6,6,6,5,2,"California ",2,"",38,NA,NA,NA,NA,NA,1,NA,1,1,1,"Health care is not a right, only God can give us our rights. Nationalized health care would encourage people to not work and only working people would support peopletter who will sap the system.",""
"253","PT","conservative","against",100,100,2,3,2,2,6,7,7,1,7,2,2,7,2,"CA",2,"",43,NA,NA,NA,NA,NA,1,NA,1,1,1,"Complete healthcare coverage for everyone is too costly for the government to bear. This would result in increased taxes for all citizens, and give government an unprecedented power in controlling the healthcare system. ",""
"254","control","conservative","against",100,100,3,6,2,2,4,4,4,1,5,5,5,7,3,"Kentucky",2,"",40,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"One argument I've heard is that people would have to wait too long for necessary services. Another is that the QOC is low. ",""
"255","PT","conservative","against",70,60,5,5,6,6,4,5,3,1,5,5,5,6,4,"Wisconsin",2,"",22,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"The cost in taxes and how much it's worth.  / ",""
"256","control","conservative","against",100,90,2,4,2,2,6,6,6,1,5,2,6,6,2,"California ",2,"",27,NA,NA,1,NA,NA,1,NA,1,1,1,"It will balloon the deficit due to covering everyone. Healthy people will be paying to cover the sicker people, single people will be paying to cover other people's children, etc. ",""
"257","PT","liberal","against",100,100,7,6,3,4,4,4,4,1,7,3,5,7,6,"",1,"",36,NA,NA,NA,NA,NA,1,NA,1,1,1,"Too much cost for the government.",""
"258","PT","liberal","against",75,75,5,6,5,6,4,3,3,1,5,3,2,5,4,"Tennessee",2,"",31,NA,NA,NA,NA,NA,1,NA,1,1,NA,"If universal health Care is implemented, overall health Care may decline. This could include long wait times, inability to see a specialist, and higher tax rates. Also would take away from the choices we can make concerning our personal healthcare",""
"259","control","conservative","against",90,90,6,6,3,3,2,2,2,1,6,2,6,5,2,"California",2,"",34,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"I am concerned about how the shift would affect funding and resources for research/drug design/etc. Also many new therapies are extremely expensive (though effective) and are therefore not readily available in most countries with universal healthcare, while we have access to them in the US with private health insurance. ",""
"260","PT","conservative","against",100,100,3,3,3,3,7,7,7,1,6,1,2,7,1,"California",2,"",26,NA,NA,NA,NA,NA,1,NA,1,1,1,"The other participant may argue that his income should not be taxed to pay someone elses medical bills (especially a person who may not have a job). He may be a healthy individual that would not take much advantage of a universal healthcare service therefore feel he should not have to pay for the program",""
"261","control","conservative","against",100,100,2,4,2,3,7,6,7,1,7,4,5,7,2,"California ",2,"",41,NA,NA,1,NA,NA,NA,NA,1,1,1,"People who don’t want health care might be required to subsidize the health care of others",""
"262","control","liberal","in support of",25,25,5,3,3,4,2,3,1,1,2,3,2,2,5,"Texas",1,"",40,NA,NA,NA,NA,NA,1,NA,1,1,1,"It is a basic human need. And as one of the worlds wealthiest nations we should be able to afford it.",""
"263","PT","conservative","against",100,100,1,5,4,4,7,7,7,1,6,4,5,7,1,"Washington currently",2,"",29,NA,NA,NA,NA,NA,1,NA,1,NA,1,"It is too costly and unrealistic to implement. Because of prominence of health issues, undue burden is placed on wealthy to fund needs of those who aren’t working as hard to make money ",""
"264","PT","conservative","against",100,100,6,6,4,3,5,5,7,1,3,3,5,6,2,"Georgia ",3,"Agender/gender neutral",30,NA,NA,NA,NA,NA,1,NA,1,1,1,"We can't afford the costs  / It would lead to inefficiency and poor care / Possible experience with government agencies that are poorly funded and inefficient, which is definitely a thing ",""
"265","PT","conservative","against",100,100,1,1,1,1,7,7,7,1,7,2,NA,7,2,"Colorado",2,"",28,NA,NA,NA,NA,NA,1,NA,1,1,1,"People should be self-sufficient and not depend on the government to help them. It is unfair to make somebody pay for care for someone else.",""
"266","control","liberal","in support of",35,41,5,5,5,5,3,3,3,1,5,5,3,5,4,"Missouri",1,"",24,NA,NA,NA,NA,NA,1,NA,1,1,1,"It leaves no one behind and gives everyone a basic safety net that doesn't come unnacounted for in emergency situations, unlike what could happen in a emergency situation with a buy in program. It lowers exorbitant costs of care that come with a buy in approach by lowering competing market standards: capitalism and Health Care do not share common values.",""
"267","control","conservative","against",100,100,5,5,2,4,6,6,7,1,7,2,6,7,1,"Vermont",2,"",29,NA,NA,NA,NA,NA,1,NA,1,1,NA,"UHC is expensive. The current costs of healthcare in the US are too high (in comparison to other countries) for the government to manage.",""
"268","PT","liberal","in support of",0,0,3,3,3,4,7,5,7,1,4,6,2,4,5,"Maine",1,"",19,NA,NA,NA,NA,NA,1,NA,1,1,1,"Health care for all citizens guaranteed looks wonderful on paper, the government just needs to streamline their system to make it work. Doesn't matter a person is rich or poor, black or white, they are given the same effective insurance.",""
"269","PT","conservative","against",100,100,5,5,4,2,7,7,7,1,7,2,7,7,1,"Texas",2,"",27,NA,NA,NA,NA,NA,1,NA,1,1,1,"Universal health care would cost more people more money than the current system. People would have to pay more in taxes than they currently do for private health care or insurance through their employer.",""
"270","PT","conservative","against",100,100,1,2,1,1,6,7,7,1,5,2,5,7,1,"Massachusetts",2,"",24,NA,NA,NA,NA,NA,1,NA,1,1,1,"People just want hands outs. Universal health Care is expensive.",""
"271","control","conservative","against",100,100,2,3,2,3,7,6,7,1,6,3,5,5,1,"California",2,"",28,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"People should have to pay for the healthcare they use. If someone is very sick, I should not have to pay for their additional healthcare costs via taxes. ",""
"272","PT","conservative","against",78,87,3,3,2,3,6,7,6,1,6,5,6,6,2,"Texas",2,"",25,NA,NA,NA,NA,NA,1,NA,1,NA,1,"Increased taxes, not able to afford additional expenses for ""what if"" scenarios, that universal healthcare somehow slows medical progress and advancements",""
"273","control","conservative","against",100,100,3,3,1,1,7,7,6,1,6,2,5,7,1,"Melissa",2,"",24,NA,NA,NA,NA,NA,1,NA,1,1,1,"More money is initially funneled through increases in taxes. This increase in taxes may take money away from families. ",""
"274","PT","conservative","against",95,95,2,3,2,2,6,6,7,1,5,2,5,7,2,"NJ",2,"",30,NA,NA,NA,NA,NA,1,NA,1,1,1,"Universal health care puts a burden on taxpayers and requires them to pay for services they may not require. For example, Dehraan, as a 22 year old male, will not require women’s health services and should not have to pay for them. ",""
"275","control","conservative","against",90,90,3,3,3,3,5,6,7,1,7,3,5,6,2,"Virginia",2,"",23,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"It will be expensive for the government to implement. We may need to raise taxes on some/all individuals to pay for it.",""
"276","PT","conservative","against",79,79,5,6,4,3,3,4,5,1,5,3,5,6,3,"Pennsylvania",2,"",30,NA,NA,NA,NA,NA,1,NA,1,NA,1,"They may fear that the quality of medical care may drop if UHC is adopted.  They may also worry that certain procedures may not be treated in a timely manner or treated as seriously as they would be under the current system.",""
"277","control","conservative","against",96,99,5,6,4,6,4,3,6,1,6,2,6,5,1,"MA",2,"",30,NA,1,NA,NA,NA,NA,NA,1,1,NA,"It may be too expensive to support. How much will taxes be? ",""
"278","PT","conservative","against",81,81,3,3,5,4,7,3,6,1,7,2,7,6,3,"Florida",2,"",26,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"The government is not qualified to take over health care. The government can't afford to pay for everyone's healthcare.",""
"279","control","conservative","against",80,70,7,5,5,5,3,3,4,1,5,3,6,7,4,"Virginia",2,"",28,NA,NA,NA,NA,NA,1,NA,1,1,1,"It does not incentive competitive medical care and results in an overall decrease in healthcare options and improvements in healthcare / ",""
"280","control","conservative","against",100,100,3,6,2,3,4,3,6,1,5,2,6,6,1,"Kentucky",2,"",35,NA,NA,NA,NA,NA,1,NA,1,1,1,"It incentivizes abuse of the system for non-serious situations.",""
"281","PT","conservative","against",100,100,1,1,1,1,7,7,7,1,7,2,5,7,2,"Kentucky ",2,"",21,NA,NA,NA,NA,NA,1,NA,1,1,NA,"The other participant does not want the money they pay in taxes to go towards healthcare for oher people. They might prefer having a private insurance provide. ",""
"282","control","conservative","against",100,100,1,1,2,2,7,7,6,1,7,2,7,6,2,"North Carolina",2,"",25,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"It would be expensive to maintain this system, and there could be long wait times. ",""
"283","PT","liberal","against",80,76,4,5,5,5,5,5,4,1,5,5,2,6,5,"MA",2,"",28,NA,NA,NA,NA,NA,1,NA,1,1,1,"Free healthcare is not actually free as we as citizens will be paying for it through taxes and/or spending cuts. Also, if the government controlled healthcare, availability of specific specialities and professionals could become limited.",""
"284","control","conservative","against",100,100,1,1,1,1,7,7,7,1,6,1,6,7,1,"California",2,"",35,NA,NA,NA,NA,NA,1,NA,1,1,1,"Paying for illegal immigrants or people on welfare to get medical care even though they don’t contribute themselves.  My hard earned money would go to people who don’t help themselves, or don’t help me. ",""
"285","PT","conservative","against",55,55,4,5,3,4,4,5,5,1,5,4,5,6,3,"IL",2,"",25,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"The increased tax burden, especially for young/healthy individuals who perceive they are subsidizing risky/unhealthy behavior. ",""
"286","control","conservative","against",100,100,1,1,1,1,5,5,7,1,6,1,7,7,1,"PA",2,"",22,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"It cost too much for the taxpayer. There is no clear way on how to implement it.",""
"287","PT","conservative","against",77,73,4,5,4,3,4,3,5,1,3,2,5,2,3,"Michigan",2,"",27,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"Universal health care will decrease the quality of health care for everyone. Wait times for doctors will be longer and cutting edge treatment options won't be as available. ",""
"288","control","conservative","against",90,90,4,4,3,2,6,3,6,1,6,4,6,7,1,"Texas",2,"",24,NA,NA,NA,NA,NA,1,NA,1,1,1,"One argument against universal health care focuses on cost. Those against universal health care may state that it will be too expensive for government systems to create and employ this system.",""
"289","control","conservative","against",85,85,3,3,3,3,3,3,3,1,6,2,6,7,1,"California",2,"",30,NA,NA,NA,NA,NA,1,NA,1,1,1,"Wait times are increased in countries that currently have universal healthcare. The existing number of doctors and nurses cannot accommodate the higher number of people who would seek care if their care were automatically paid for.",""
"290","PT","conservative","against",62,62,5,6,6,5,5,5,4,1,4,4,5,4,4,"Washington",1,"",21,NA,NA,NA,NA,NA,1,NA,1,1,NA,"The Federal Government is inefficient in its administration of existing healthcare systems. One need only to look at the current state of VA hospitals to get a preview of what Universal Healthcare would look like.",""
"291","PT","conservative","against",80,80,3,4,2,3,6,6,6,1,7,3,5,7,2,"Arkansas",2,"",22,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"Universal healthcare is simply socialism, which can’t ever work, just look at Greece and Venezuela. Their economies are imploding due to socialism. ",""
"292","control","conservative","against",85,82,2,4,2,6,6,5,5,1,5,2,5,7,3,"California",2,"",30,NA,NA,NA,NA,NA,1,NA,1,NA,1,"People might be against universal health care because they are worried about increase cost. Their taxes may go up. This might be concerning if they are in good health",""
