PNo;Gender;Age;SuccessSlopeCond;InfPRIMARYControl;ThreeInARowCond;Canadian;DBC_IOC_HotMachine;DBC_IOC_Familiar;DBC_Sup_MagicNos;DBC_IOC_DiceWin;DBC_Sup_Ritual;DBC_Sup_Horoscope;DBC_Sup_PlayerVsMach;DBC_Sup_Fate;DBC_IOC_GamblingSystem;DBC_IOC_HeadsTails;DBC_Sup_ChanceGame;DBC_IOC_Secrets;DBC_Sup_LuckyPen;DBC_Sup_LuckyClothes;DBC_IOC_LotteryNos;DBC_IOC_Sportsperson;DBC_IOC_BornLucky;DBC_Sup_Superstitious;DBC_IOC_LongLosing;DBC_IOC_MachineSystem;DBC_Sup_LuckyCharm;DBC_Sup_LotterySystem;DBC_Sup;DBC_IOC;DBC_Total;SoccerInterest;QAccListSkill;QAccListLuckyMoments;QAccListPlayers;QAccListStrategy;QAccListLuckyPlay;QAccListLuck;QAccListLuckyPerson;QAccListSoccerKnowl;QAccListBET;QAccListCHANCE;QAccListPractice;QAccListComputerGames;QAccListDeserve;QAccListGoalieMoves;QAccListKickDirn;QStrategyPresent;QStrategyDescr;Q100RoundsGoal;QChancesOfWinning;QChancesOfWinning_Odds;QHowManySingle;QHowManySingleCaptionType;QHowManySingleWins;QOutcomeSeq;QOutcomeSeqOther
107;0;27;End;-0.80516772;Present;8;Agree;Strongly agree;Agree;Agree;Agree;Agree;Disagree;Agree;Agree;Disagree;Disagree;Agree;Strongly disagree;Disagree;Agree;Disagree;Agree;Agree;Disagree;Agree;Disagree;Disagree;31;39;70;Mildly;0;0;6;5;5;0;0;0;5;10;0;0;0;0;0;No;                                                                                                                                                                                                        ;10;10;10;7;goals;7;Noticeably more wins occurred at the end;                                                                                                                                                                                                        
108;0;18;Beginning;-0.150727048;Present;0;Agree;Neutral;Neutral;Strongly agree;Strongly agree;Disagree;Disagree;Disagree;Agree;Neutral;Agree;Neutral;Disagree;Agree;Strongly agree;Agree;Strongly agree;Agree;Neutral;Agree;Neutral;Disagree;33;43;76;Very little;3;2;2;6;10;0;2;2;3;10;2;1;4;0;2;Yes;I had 2 or 3 goal streaks. I guess I could stick with betting the lowest amount untill I got  a goal or two, then start betting 50 or 100.                                                              ;10;10;10;90;misses;10;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
109;0;22;Even;2.411878957;Present;8;Agree;Neutral;Agree;Agree;Neutral;Agree;Agree;Neutral;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Agree;Neutral;Agree;Neutral;Disagree;Agree;Disagree;Neutral;Agree;Agree;42;40;82;Not at all;5;10;10;5;5;7;5;10;5;5;10;5;5;6;5;Yes;                                                                                                                                                                                                        ;80;4;25;40;goals;40;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
110;0;22;End;2.209613999;Not present;4;Neutral;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Neutral;Disagree;Disagree;Agree;Agree;Agree;Agree;Agree;Neutral;Disagree;Strongly agree;Disagree;Agree;Neutral;Disagree;Strongly disagree;37;40;77;Very little;8;10;5;9;7;7;2;7;7;5;7;10;7;5;7;Yes;3 or 4 for the smallest bet that is 10 of 53 and use the 100 and 533 to win the credit                                                                                                                  ;20;5;20;20;goals;20;Other (please specify);                                                                                                                                                                                                        
111;0;20;Beginning;-0.363641191;Not present;2;Agree;Disagree;Agree;Strongly agree;Agree;Neutral;Disagree;Agree;Neutral;Neutral;Neutral;Neutral;Disagree;Strongly agree;Agree;Neutral;Strongly agree;Agree;Agree;Disagree;Strongly agree;Agree;40;38;78;Mildly;3;8;8;0;3;2;1;1;5;9;0;1;7;0;5;No;                                                                                                                                                                                                        ;20;16;6.25;85;misses;15;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
112;1;19;Even;0.561027178;Not present;1;Neutral;Disagree;Disagree;Agree;Agree;Agree;Neutral;Agree;Agree;Agree;Neutral;Agree;Agree;Neutral;Agree;Agree;Agree;Neutral;Neutral;Neutral;Neutral;Agree;37;39;76;Very little;2;2;5;7;5;2;5;2;9;9;5;2;2;3;3;Yes;i think that once i changes players, i would score in the first 2-3 shots of the new player...i found that if i didnt change players for a while i didnt score, so i changed payers after every goal    ;40;6;16.66666667;10;goals;10;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
113;1;18;U-shaped;-0.940173212;Not present;1;Agree;Disagree;Strongly disagree;Strongly disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Agree;Strongly disagree;Disagree;Agree;Disagree;Disagree;Disagree;Strongly disagree;Disagree;Agree;Agree;Strongly disagree;Agree;23;28;51;Mildly;0;0;2;2;2;0;0;0;3;10;0;0;0;0;2;No;                                                                                                                                                                                                        ;10;10;10;90;misses;10;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
114;1;20;End;-0.855706275;Present;0;Neutral;Agree;Agree;Agree;Disagree;Disagree;Agree;Agree;Neutral;Agree;Neutral;Disagree;Strongly disagree;Strongly disagree;Strongly disagree;Disagree;Strongly agree;Agree;Strongly disagree;Disagree;Disagree;Agree;31;31;62;Very little;0;10;3;0;5;0;4;0;5;10;0;0;0;0;0;No;                                                                                                                                                                                                        ;15;15;6.666666667;20;goals;20;Noticeably more wins occurred at the end;                                                                                                                                                                                                        
115;1;23;U-shaped;-0.839862129;Present;7;Strongly disagree;Strongly disagree;Strongly disagree;Disagree;Strongly disagree;Disagree;Strongly disagree;Neutral;Disagree;Disagree;Disagree;Strongly disagree;Neutral;Neutral;Neutral;Agree;Agree;Neutral;Disagree;Disagree;Neutral;Disagree;24;24;48;Mildly;0;7;0;0;9;0;4;0;0;9;0;0;9;0;0;Yes;when u r playing the cards, if u have a good memory. u will won easily.                                                                                                                                 ;10;15;6.666666667;3;misses;97;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
116;1;28;U-shaped;1.769843258;Not present;7;Strongly agree;Neutral;Agree;Disagree;Agree;Agree;Strongly agree;Strongly agree;Strongly agree;Disagree;Agree;Disagree;Strongly agree;Strongly agree;Strongly agree;Disagree;Strongly agree;Agree;Strongly agree;Agree;Strongly agree;Neutral;48;40;88;Very strongly;7;9;3;7;6;4;6;5;10;10;8;7;7;4;4;No;                                                                                                                                                                                                        ;40;4;25;40;goals;40;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
117;1;20;Even;-0.568896618;Present;0;Disagree;Agree;Neutral;Disagree;Disagree;Disagree;Strongly disagree;Strongly disagree;Agree;Strongly agree;Strongly disagree;Strongly disagree;Disagree;Disagree;Disagree;Disagree;Agree;Disagree;Agree;Agree;Strongly disagree;Agree;21;34;55;Very little;0;0;0;8;0;0;0;0;10;10;0;5;0;0;8;No;                                                                                                                                                                                                        ;20;5;20;15;goals;15;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
118;1;18;End;1.785668401;Present;2;Neutral;Disagree;Strongly disagree;Agree;Disagree;Strongly disagree;Disagree;Neutral;Strongly agree;Agree;Disagree;Disagree;Disagree;Neutral;Neutral;Disagree;Disagree;Disagree;Disagree;Disagree;Neutral;Disagree;23;31;54;Mildly;7;3;3;8;5;5;5;3;8;5;8;8;10;3;8;Yes;dont choose random, choose to kick in only one direction every time then approximately every 2 or 3d kick its a goal and you can bet more on 2d and 3d but bet a little on the first kick               ;30;4;25;25;goals;25;Noticeably more wins occurred at the end;                                                                                                                                                                                                        
119;1;19;Beginning;-0.62678433;Present;0;Neutral;Disagree;Strongly disagree;Strongly disagree;Strongly disagree;Disagree;Neutral;Disagree;Agree;Strongly disagree;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;Disagree;Disagree;Strongly disagree;Strongly disagree;15;21;36;Not at all;1;1;7;1;2;1;1;1;3;3;0;1;5;1;0;No;                                                                                                                                                                                                        ;15;20;5;5;goals;5;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
120;0;26;Even;1.056365104;Present;22;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;55;55;110;Not at all;8;3;0;7;0;10;6;0;5;0;4;9;1;2;0;No;                                                                                                                                                                                                        ;5;5;20;10;misses;90;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
121;1;26;Beginning;-1.090777008;Present;0;Neutral;Disagree;Neutral;Agree;Neutral;Neutral;Disagree;Neutral;Neutral;Disagree;Neutral;Agree;Disagree;Disagree;Disagree;Agree;Agree;Neutral;Agree;Neutral;Disagree;Disagree;28;35;63;Mildly;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;No;                                                                                                                                                                                                        ;20;5;20;15;goals;15;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
122;1;21;End;-0.787114784;Present;0;Neutral;Neutral;Neutral;Neutral;Strongly disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Agree;Agree;Disagree;Disagree;Neutral;Disagree;Disagree;Neutral;Disagree;Neutral;Neutral;Neutral;27;29;56;Very strongly;0;0;5;0;0;0;0;0;0;7;0;1;0;0;7;No;                                                                                                                                                                                                        ;30;6;16.66666667;60;misses;40;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
123;0;22;End;0.594147467;Not present;0;Neutral;Strongly disagree;Strongly disagree;Agree;Agree;Strongly disagree;Strongly disagree;Neutral;Disagree;Neutral;Strongly agree;Strongly disagree;Strongly disagree;Neutral;Neutral;Disagree;Strongly agree;Strongly agree;Neutral;Neutral;Strongly disagree;Agree;29;30;59;Strongly;4;2;3;6;7;7;0;0;2;9;2;0;10;6;10;Yes;"""It's all about luck,                                                                                                                                                                                   ";6;27;10.33333333;20;misses;75;Wins were relatively evenly spaced out across rounds;0
124;0;18;Beginning;-0.9672088;Not present;0;Agree;Agree;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Disagree;Disagree;Disagree;Neutral;Strongly disagree;Disagree;Disagree;Neutral;Neutral;Strongly disagree;Disagree;Agree;Disagree;Disagree;15;31;46;Strongly;0;0;0;0;1;0;0;1;2;8;0;0;0;0;3;No;                                                                                                                                                                                                        ;38;5;20;70;misses;30;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
125;1;18;Even;-0.142733614;Not present;3;Neutral;Agree;Neutral;Agree;Neutral;Neutral;Neutral;Disagree;Neutral;Neutral;Disagree;Agree;Strongly agree;Strongly agree;Agree;Strongly agree;Strongly agree;Agree;Disagree;Agree;Agree;Strongly disagree;35;41;76;Mildly;0;8;5;7;8;3;5;0;5;10;0;8;5;0;0;No;                                                                                                                                                                                                        ;50;6;16.66666667;90;misses;10;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
126;0;18;U-shaped;-0.754644794;Not present;1;Disagree;Neutral;Disagree;Neutral;Disagree;Strongly disagree;Disagree;Disagree;Neutral;Strongly disagree;Strongly disagree;Strongly disagree;Agree;Agree;Disagree;Disagree;Disagree;Agree;Disagree;Agree;Neutral;Neutral;28;25;53;Strongly;2;0;3;2;0;0;3;0;2;9;0;0;0;1;2;No;                                                                                                                                                                                                        ;10;10;10;90;misses;10;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
127;0;19;U-shaped;-1.043949045;Not present;1;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Agree;Strongly disagree;Strongly disagree;Neutral;Strongly disagree;Strongly disagree;Strongly disagree;Neutral;Strongly disagree;Strongly disagree;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;11;19;30;Mildly;0;0;0;3;0;0;0;0;10;10;0;0;0;0;0;No;                                                                                                                                                                                                        ;10;10;10;10;goals;10;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
128;1;28;U-shaped;-1.090777008;Present;0;Neutral;Agree;Strongly agree;Neutral;Strongly agree;Disagree;Disagree;Agree;Agree;Neutral;Neutral;Agree;Disagree;Disagree;Disagree;Neutral;Strongly disagree;Strongly disagree;Strongly disagree;Agree;Disagree;Neutral;31;32;63;Very strongly;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;No;                                                                                                                                                                                                        ;10;15;6.666666667;10;goals;10;Other (please specify);Did not notice any pattern                                                                                                                                                                              
129;1;31;End;-1.090777008;Not present;0;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Neutral;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;14;13;27;Strongly;0;0;0;0;0;0;0;0;5;10;0;0;0;0;0;No;                                                                                                                                                                                                        ;10;15;6.666666667;90;misses;10;Noticeably more wins occurred at the end;                                                                                                                                                                                                        
131;1;38;Even;-1.090777008;Present;0;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Neutral;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Neutral;Strongly disagree;Strongly disagree;Agree;Neutral;Strongly disagree;Strongly disagree;Strongly disagree;Neutral;19;14;33;Strongly;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;No;                                                                                                                                                                                                        ;10;10;10;5;goals;5;Other (please specify);No noticable pattern, all random                                                                                                                                                                        
132;0;21;U-shaped;-0.141012961;Not present;0;Agree;Neutral;Agree;Agree;Agree;Neutral;Disagree;Agree;Neutral;Agree;Neutral;Agree;Neutral;Agree;Neutral;Agree;Strongly agree;Strongly agree;Agree;Neutral;Neutral;Agree;39;41;80;Mildly;1;1;4;3;5;3;3;3;6;8;0;5;1;2;2;No;                                                                                                                                                                                                        ;20;10;10;20;goals;20;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
133;0;20;U-shaped;0.693963972;Present;1;Neutral;Agree;Disagree;Neutral;Neutral;Neutral;Disagree;Agree;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Agree;Neutral;Agree;Disagree;Agree;Neutral;Agree;34;35;69;Not at all;2;1;3;2;2;1;5;6;5;9;2;8;7;8;5;No;                                                                                                                                                                                                        ;40;4;25;80;misses;20;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
134;0;21;Beginning;-0.180731067;Present;0;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Agree;Neutral;Strongly disagree;Agree;Strongly disagree;Agree;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;Neutral;Agree;Strongly disagree;Strongly disagree;14;25;39;Mildly;0;1;3;8;4;0;0;0;7;10;4;0;0;0;5;Yes;Unsure Really but I was trying to figure out some kind of stratagy however I am not convinced that it would have helped at all anyway.                                                                  ;10;12;8.333333333;12;goals;12;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
135;1;36;Even;-0.420522314;Present;0;Disagree;Neutral;Neutral;Agree;Strongly disagree;Neutral;Disagree;Strongly disagree;Agree;Disagree;Strongly disagree;Disagree;Neutral;Disagree;Agree;Strongly disagree;Agree;Disagree;Strongly disagree;Disagree;Strongly disagree;Agree;23;29;52;Mildly;2;5;4;0;0;0;0;2;4;10;1;3;2;0;5;No;                                                                                                                                                                                                        ;10;10;10;3;goals;3;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
136;1;32;U-shaped;0.52087795;Present;0;Neutral;Strongly disagree;Agree;Neutral;Agree;Agree;Neutral;Disagree;Neutral;Neutral;Agree;Agree;Neutral;Neutral;Neutral;Neutral;Neutral;Strongly disagree;Strongly disagree;Strongly disagree;Agree;Strongly disagree;33;28;61;Mildly;0;6;5;3;5;8;0;0;2;0;3;0;0;8;5;No;                                                                                                                                                                                                        ;20;15;6.666666667;90;misses;10;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
137;0;23;End;-0.824740524;Not present;0;Strongly disagree;Strongly disagree;Strongly disagree;Neutral;Disagree;Strongly disagree;Disagree;Neutral;Disagree;Strongly disagree;Strongly disagree;Disagree;Strongly disagree;Agree;Disagree;Strongly disagree;Neutral;Disagree;Neutral;Neutral;Agree;Strongly disagree;22;22;44;Mildly;0;2;4;2;2;0;0;0;0;5;0;1;0;0;3;Yes;Kick up the top seemed to go in more than along the bottom                                                                                                                                              ;30;6;16.66666667;75;misses;25;Other (please specify);Noticeably more wins when I changed to Ronaldinho (the last player I selected)                                                                                                                          
138;0;34;Beginning;0.200162547;Not present;0;Agree;Neutral;Strongly disagree;Agree;Strongly disagree;Strongly disagree;Agree;Disagree;Neutral;Neutral;Agree;Agree;Disagree;Disagree;Strongly disagree;Agree;Agree;Disagree;Strongly disagree;Agree;Strongly disagree;Strongly disagree;21;35;56;Mildly;3;8;8;6;2;0;5;5;0;5;0;2;0;7;3;Yes;Make two shots to the same angle and there is likely to be a goal                                                                                                                                       ;40;3;33.33333333;60;misses;40;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
139;0;20;Even;0.065763714;Not present;2;Strongly agree;Strongly disagree;Strongly agree;Strongly agree;Strongly disagree;Agree;Neutral;Agree;Strongly agree;Strongly disagree;Agree;Strongly disagree;Strongly agree;Strongly agree;Strongly disagree;Strongly disagree;Strongly agree;Agree;Disagree;Neutral;Strongly agree;Neutral;43;30;73;Mildly;5;10;0;10;5;5;10;0;10;10;0;0;10;0;10;No;                                                                                                                                                                                                        ;10;20;5;5;goals;5;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
140;1;20;U-shaped;0.049352624;Not present;1;Disagree;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Agree;Disagree;Agree;Disagree;Disagree;Neutral;Disagree;Agree;Neutral;Neutral;Agree;Disagree;Neutral;29;35;64;Mildly;2;2;6;2;2;3;3;2;3;9;2;2;2;3;2;No;                                                                                                                                                                                                        ;3;5;20;1;goals;1;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
141;0;19;U-shaped;2.065146734;Present;10;Agree;Agree;Neutral;Agree;Neutral;Neutral;Disagree;Agree;Disagree;Agree;Agree;Agree;Neutral;Disagree;Agree;Agree;Agree;Neutral;Disagree;Agree;Neutral;Disagree;32;40;72;Strongly;3;7;7;7;8;7;5;5;9;8;8;7;9;7;8;No;                                                                                                                                                                                                        ;20;5;20;70;misses;30;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
142;0;38;End;1.892423118;Present;9;Strongly disagree;Strongly disagree;Neutral;Agree;Strongly disagree;Strongly disagree;Neutral;Agree;Disagree;Disagree;Agree;Disagree;Neutral;Neutral;Agree;Agree;Neutral;Neutral;Agree;Disagree;Disagree;Neutral;30;29;59;Mildly;6;8;10;5;10;5;5;5;5;6;7;5;5;5;10;No;                                                                                                                                                                                                        ;5;15;6.666666667;90;misses;10;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
143;1;20;Beginning;1.075814139;Present;1;Disagree;Agree;Agree;Agree;Agree;Neutral;Strongly agree;Agree;Agree;Strongly disagree;Agree;Strongly agree;Disagree;Strongly agree;Agree;Strongly agree;Strongly agree;Neutral;Agree;Agree;Agree;Disagree;40;42;82;Strongly;5;6;4;5;4;5;3;3;7;2;5;3;4;5;7;Yes;choose the right down,then right up,the last may get score.                                                                                                                                             ;56;4;25;35;goals;35;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
144;1;22;End;2.469729678;Not present;6;Disagree;Agree;Agree;Agree;Agree;Disagree;Agree;Agree;Neutral;Agree;Agree;Agree;Disagree;Agree;Agree;Agree;Agree;Neutral;Agree;Agree;Agree;Disagree;37;41;78;Strongly;8;8;8;8;8;8;8;3;8;8;8;8;8;8;8;No;                                                                                                                                                                                                        ;85;5;20;48;goals;48;Noticeably more wins occurred at the end;                                                                                                                                                                                                        
145;0;36;Beginning;-0.820937565;Present;5;Strongly disagree;Neutral;Strongly disagree;Neutral;Strongly disagree;Strongly disagree;Agree;Strongly disagree;Neutral;Agree;Neutral;Neutral;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;16;22;38;Strongly;0;0;10;0;0;0;5;0;5;10;0;0;0;0;0;No;                                                                                                                                                                                                        ;20;10;10;10;goals;10;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
146;0;23;Beginning;-0.274902872;Not present;0;Agree;Strongly disagree;Disagree;Disagree;Disagree;Neutral;Strongly disagree;Neutral;Agree;Strongly disagree;Disagree;Agree;Neutral;Agree;Strongly agree;Agree;Strongly disagree;Agree;Disagree;Disagree;Neutral;Disagree;29;30;59;Strongly;4;3;0;4;0;2;4;0;3;8;0;3;3;4;1;No;                                                                                                                                                                                                        ;10;9;11.11111111;90;misses;10;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
147;1;43;End;0.544877499;Present;2;Strongly disagree;Strongly agree;Strongly disagree;Strongly disagree;Disagree;Strongly disagree;Agree;Strongly disagree;Disagree;Agree;Disagree;Agree;Strongly disagree;Neutral;Disagree;Agree;Disagree;Disagree;Disagree;Agree;Strongly disagree;Agree;22;31;53;Strongly;5;0;10;5;5;0;0;0;5;0;5;5;0;0;5;Yes;The kicking tacks used by the four players to shoot goals. Knowing their style of playing can detemine how to gamble.                                                                                   ;10;10;10;15;goals;15;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
148;0;33;Even;1.531269938;Present;14;Neutral;Agree;Neutral;Disagree;Strongly agree;Disagree;Agree;Strongly disagree;Agree;Neutral;Agree;Agree;Disagree;Agree;Agree;Agree;Strongly disagree;Neutral;Neutral;Agree;Agree;Neutral;35;36;71;Very little;5;4;6;6;4;4;3;7;3;5;8;4;5;3;5;Yes;choose a strong player                                                                                                                                                                                  ;8;10;10;5;goals;5;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
149;0;33;Even;2.300299793;Not present;16;Agree;Strongly agree;Neutral;Agree;Disagree;Neutral;Strongly agree;Neutral;Strongly agree;Agree;Agree;Disagree;Strongly agree;Strongly agree;Agree;Agree;Strongly disagree;Agree;Disagree;Strongly disagree;Agree;Strongly disagree;39;36;75;Not at all;8;6;4;6;2;5;3;7;6;9;9;7;7;9;6;Yes;yes                                                                                                                                                                                                     ;5;5;20;10;goals;10;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
150;0;28;U-shaped;1.100776225;Not present;3;Neutral;Disagree;Agree;Neutral;Agree;Neutral;Agree;Disagree;Neutral;Neutral;Agree;Agree;Disagree;Disagree;Neutral;Neutral;Agree;Neutral;Neutral;Neutral;Neutral;Agree;35;34;69;Not at all;5;5;5;5;0;5;0;5;0;5;5;5;0;5;5;Yes;keep the goal and see the keeper to kick the ball in the right place                                                                                                                                    ;60;4;25;60;misses;40;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
151;1;25;End;1.82625423;Present;12;Neutral;Agree;Agree;Agree;Agree;Agree;Agree;Neutral;Agree;Neutral;Agree;Neutral;Agree;Neutral;Neutral;Neutral;Agree;Disagree;Neutral;Strongly agree;Neutral;Agree;39;39;78;Mildly;8;7;8;7;5;5;6;6;4;7;6;7;5;6;4;No;                                                                                                                                                                                                        ;60;5;20;43;goals;43;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
152;0;37;Beginning;-0.967183105;Not present;0;Strongly disagree;Strongly disagree;Strongly disagree;Disagree;Disagree;Disagree;Agree;Disagree;Disagree;Neutral;Disagree;Disagree;Disagree;Disagree;Disagree;Neutral;Agree;Disagree;Disagree;Disagree;Strongly disagree;Strongly disagree;21;24;45;Mildly;0;0;0;0;0;0;0;2;5;10;0;1;0;0;0;No;                                                                                                                                                                                                        ;15;8;12.5;75;misses;25;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
153;1;22;End;-0.48936965;Not present;3;Disagree;Neutral;Agree;Neutral;Strongly disagree;Strongly disagree;Strongly disagree;Neutral;Disagree;Strongly agree;Disagree;Disagree;Strongly disagree;Strongly disagree;Agree;Strongly disagree;Agree;Disagree;Strongly agree;Agree;Strongly disagree;Disagree;19;35;54;Very little;1;0;5;3;1;0;0;0;5;10;2;0;0;0;5;Yes;Cristiano Ronaldo top right                                                                                                                                                                             ;7;10;10;5;goals;5;Noticeably more wins occurred at the end;                                                                                                                                                                                                        
154;1;27;Beginning;0.20045388;Present;3;Neutral;Agree;Agree;Agree;Neutral;Disagree;Strongly agree;Agree;Agree;Agree;Agree;Agree;Agree;Disagree;Agree;Agree;Agree;Agree;Agree;Agree;Disagree;Agree;38;43;81;Very strongly;3;5;3;1;0;0;5;0;5;4;5;5;5;0;3;No;                                                                                                                                                                                                        ;70;4;25;10;goals;10;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
155;0;28;Even;-0.495027686;Present;0;Neutral;Strongly disagree;Strongly disagree;Neutral;Strongly disagree;Strongly disagree;Strongly disagree;Agree;Neutral;Neutral;Neutral;Neutral;Disagree;Agree;Disagree;Neutral;Neutral;Neutral;Disagree;Strongly disagree;Neutral;Strongly disagree;24;27;51;Strongly;0;0;0;4;0;0;0;0;5;5;0;4;0;4;6;Yes;I thought the left sides seemed to do better than the right sides for goal shot options.                                                                                                                ;10;10;10;10;goals;10;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
156;1;24;Even;0.105999578;Not present;0;Agree;Neutral;Agree;Agree;Neutral;Neutral;Disagree;Agree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Agree;Disagree;Disagree;Agree;Disagree;32;27;59;Strongly;0;0;3;2;0;0;6;0;0;9;5;5;0;0;6;No;                                                                                                                                                                                                        ;25;4;25;25;goals;25;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
157;0;23;Even;0.193418154;Present;1;Disagree;Disagree;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;Agree;Disagree;Disagree;Strongly agree;Agree;Agree;Disagree;Disagree;Disagree;Strongly disagree;Disagree;Strongly disagree;Disagree;Disagree;Disagree;Disagree;22;26;48;Mildly;3;5;4;3;8;2;2;2;5;10;2;2;2;3;5;No;                                                                                                                                                                                                        ;10;10;10;90;misses;10;Other (please specify);more wins after changing players                                                                                                                                                                        
158;0;23;End;0.711779309;Not present;0;Neutral;Agree;Agree;Agree;Neutral;Strongly disagree;Agree;Agree;Neutral;Agree;Neutral;Agree;Disagree;Strongly disagree;Agree;Agree;Neutral;Disagree;Neutral;Agree;Strongly disagree;Neutral;28;40;68;Strongly;5;7;5;7;2;1;1;4;5;5;5;1;5;4;4;Yes;I thought it was always best to start low, go easy on the money. Then later try higher amounts. I also tried to do random kicks.                                                                        ;60;4;25;70;misses;30;Noticeably more wins occurred at the end;                                                                                                                                                                                                        
159;1;18;Even;0.16522966;Not present;0;Strongly disagree;Agree;Neutral;Neutral;Strongly disagree;Strongly disagree;Neutral;Neutral;Agree;Strongly disagree;Strongly disagree;Agree;Strongly disagree;Disagree;Neutral;Neutral;Agree;Agree;Disagree;Neutral;Agree;Agree;27;32;59;Very little;0;3;5;0;3;0;5;4;8;7;4;0;1;3;7;No;                                                                                                                                                                                                        ;9;8;12.5;95;misses;5;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
