"Data from: PONE-D-18-12899  --  Hot and bothered: Public attitudes towards heat stress and outdoor access for dairy cows
",,,,,,,,,,,,,,,,,,,
How much do you disagree/agree with the way these cows are being raised?,How inappropriate/appropriate do you consider the cow's living conditions to be?,Do you consider the way these cows are living to be unacceptable/acceptable?,Please explain your general opinion about the scenario you read.,If there were one thing you could change about this farm what would that be?,"How unlikely/likely do you
1,1,1,"The cow had no fan, during warm day, they are likely to die from heat",air ventilation and cooling system for the cow,5,2,2,1,2,2,31,1,1,4,2,1,1,1,2
2,2,2,The cows are certain to die under these conditions. It is not ethical or practical.,Provide a shaded area for the cows to go to on hot days.,4,2,2,2,3,2,31,2,2,3,1,2,2,2,1
2,2,2,"because the heat sucks, but they have food",fans,4,2,2,2,2,3,33,1,1,3,1,2,2,2,2
4,4,4,From the little information I have read I see the described farming practices as acceptable and ethical. ,Add a pond ,1,4,4,4,4,4,40,1,2,2,1,2,2,2,2
4,4,5,I didn't think that the cows living conditions were bad.  It seemed comparable to their natural habitat.  I've seen cows in much worse situations in pens were they can hardly move.  The scenario described sounded a lot better.,Maybe add a little more shade here and there.,1,5,4,4,4,5,32,1,2,5,6,1,1,2,2
3,4,4,"It's nice that the cows are being kept in a comfortable living area, but it's only natural and fair for them to be allowed to go outside sometimes.",Give the cows a chance to go graze in a field.,2,4,4,3,2,4,30,2,1,4,2,2,1,1,2
2,1,2,I think they need fans.,Give the animals fans,2,2,2,2,2,3,29,2,1,5,2,1,1,1,1
3,4,4,I AM HAPPY THEY ARE FREE TO ROAM AND HAVE SHADE.  OTHER THAN THAT I AM INDIFFERENT.,NOTHING,2,4,4,4,4,4,34,2,2,5,2,2,1,2,2
4,4,4,It seems like the cows live in a very humane situation.,Nothing I can think of.,2,3,4,4,3,3,35,1,1,3,1,2,2,2,2
4,3,4,They are being housed fine and I think there living conditions are adequate,"Maybe not have all the cows bunched, maybe give them some space",2,3,3,3,3,3,42,1,2,3,4,1,2,2,2
2,2,2,It seems to me that the cows will suffer on hot days,A place for the cows to be in the shade on hot days,3,4,4,4,4,4,41,2,2,3,2,1,1,2,1
5,5,5,tHEY HAVE ADAQUATE SPACE AND SHADE. tHEY CAN MOVE FREELY,Nothing,1,5,5,5,4,5,31,2,2,4,1,2,2,2,2
3,5,4,Cows were being raised in a barn that has fans.,nothing,3,3,3,3,2,4,34,1,1,6,7,2,2,2,2
2,2,2,"It's not ok to keep cows out in the field in such hot climate, since they get ill from over heating and the food is not optimate.",Trying to keep them in cool places for the summer time with the appropriate food.,5,1,1,1,1,2,28,1,1,5,5,1,2,2,2
3,3,4,It is not ideal but better than most commercial operations.,A few shade trees and a pond maybe.,2,3,4,4,4,4,48,1,1,3,1,2,1,2,1
4,4,4,It is nice for the cows to graze freely.  More and more dairy farms have huge barns and keep the cows in all the time.,The cows should have an indoor shelter for bad weather conditions.  The description didn't say the farm had one.,1,4,4,4,4,4,61,2,2,5,4,2,2,2,2
2,2,2,"I don't think cows should be confined all the time.  They need to exercise and graze outdoors. Cows like to run, kick and jump.",To let the cows out when possible.,4,2,3,3,2,3,68,2,1,5,3,1,2,1,1
2,2,3,"From the description, it seems the cows never have access to roam on actual grass or even get some sunlight.",let the cows roam around the wide open pasture.,2,3,3,4,2,2,30,1,1,4,3,2,2,2,2
1,2,2,Cows should be free to roam not cooped up in a barn.,Let them out to be free and roam the lands!,4,2,2,2,2,3,31,2,2,5,7,2,1,1,2
2,2,2,It's not good living condition,Add some shade,4,2,3,4,2,3,25,2,2,3,4,1,1,1,1
4,4,3,it was interesting ,nothing..it was great ,3,3,4,5,3,4,26,1,1,4,1,1,2,1,2
4,3,2,Cows being exposed to light causing stress.,More water and trees for shade,4,2,3,4,3,2,28,1,3,4,1,1,1,2,1
3,4,4,I think the cost involved might not be worth it to keep cows comfortable.,Add the fans if it's economical.,4,2,3,3,2,2,25,1,1,3,1,2,1,2,2
4,5,5,"Cows in nature don't have air conditioning, and in fact I rarely use mine.",Put the cows out to pasture.,2,3,3,3,2,5,66,1,2,4,3,2,2,2,2
4,5,5,They are outside to graze and be cows and they also get to be shaded from the sun.,nothing,2,5,5,5,5,5,32,2,2,4,3,2,2,2,2
3,4,3,"I don't expect cows to have A/C, but if it is stifling, maybe some ventilation could be added or they could choose to go outside",able to go outside,2,3,3,3,2,3,47,1,1,6,4,1,1,2,1
4,4,4,Seemed ok for farm raised cattle.,More land and shelter from the weather.,2,4,4,4,4,4,28,1,2,5,5,2,2,2,2
3,3,4,,,5,5,5,1,2,1,27,1,2,4,3,1,1,2,1
5,1,1,"Animals should never be ""caged.""  The way these cows are being housed is really no different than chickens kept in cages or in such confined conditions that they can't move.  Those cows should be able to get outside and have the benefit of sun and fresh air and green grass and movement.  ","That they would be shut down for cruelty to their cows.  Short of that, that those cows be allowed some outside time every single day, while still being able to get out of the bad weather.",4,1,1,1,1,3,63,2,3,2,1,2,2,2,2
3,3,4,"It seemed good that the cows would not be susceptible to heat stroke on hot days because of the fans. This seems like something they would not have if it were not for the people taking care of them. However, they're also in a barn and not out in the open grazing, which is kind of sad.",I would let the cows out more often.,3,3,4,4,2,4,30,1,1,5,6,2,2,2,2
4,4,4,The fans are nice for when it is hot!,None,2,3,4,4,3,4,25,1,2,3,4,2,1,1,2
2,2,2,The cows should be out in a field eating grass if they aren't being milked. They shouldn't be kept in a barn always.,I'd change that the cows weren't kept inside all the time.,4,2,2,2,1,3,47,1,1,5,6,2,1,2,2
4,4,4,Coows are suppose to be outside.  They were born to take outside temps,Add some shade trees or barns,2,3,4,4,4,3,49,2,1,5,3,1,1,1,1
2,2,2,I don't think that cows should be made to suffer needlessly in the heat.,Adding ventilation to prevent heat stress.,4,2,2,3,3,3,28,1,2,4,2,2,1,2,2
4,4,4,I think it is perfectly fine given the information,Making the resources more adequate,4,3,4,3,4,4,26,1,1,5,5,1,2,1,1
3,4,4,"I don't have a lot of experience with this subject matter about raising cattle, but driving through my state, you see what was presented in the scenario quite a bit. So, I based the responses on that.",I would plant more trees or try to make sure that cattle has plenty of water to stay cool and hydrated. I want to make sure that they are being taken care of.,3,3,3,3,4,4,30,1,2,6,4,1,1,2,1
3,3,3,Where my stance is if i am more to the left or more to the right,more simple,3,3,3,3,3,3,29,1,2,5,4,2,2,2,1
4,5,5,I lost my train of thought.,The layout.,2,5,5,4,4,1,27,1,1,6,6,2,2,1,1
3,4,3,,,4,2,1,2,1,1,27,1,2,4,3,2,1,2,1
2,2,2,I thought that it would be nice if the farmer could plant a few trees for the cows so that they can avoid heat stress.,Plant more trees or provide more shade somehow.,4,2,2,2,3,2,29,1,2,5,5,2,1,2,2
4,4,4,Dairy cows being kept in a barn out of the weather is fine. They are cows.,More cows,2,3,3,3,2,4,46,1,3,2,6,1,2,2,2
4,4,4,,,2,4,3,5,5,3,27,1,2,4,4,1,1,2,1
4,4,4,Cows are being managed and kept health for human consumption,Nothing,3,3,4,3,4,4,29,2,3,3,1,2,2,2,2
3,5,4,,,4,4,5,3,5,4,34,1,1,6,5,2,2,2,1
2,4,2,"I know they have fans, but I believe they should have access to fields and grass in order to be healthy.",The cows would be in open fields with access to the barns.,4,2,2,2,2,2,65,2,2,3,6,2,2,2,2
3,3,3,the cows are probably being raised the way cows are used to living.,Make it a little cooler.,2,3,3,3,3,4,54,1,2,6,4,2,1,1,1
2,2,2,It's wrong and counterproductive to mistreat farm animals and keeping cows cool in hot weather is just basic.,Keep cows in barn in extreme hot weather and/or transplant shade trees for cows.,4,3,2,3,3,2,62,2,2,8,1,1,1,2,2
3,3,3,"Even in the free range ranches, these animals suffer different temeperatures and conditions, anyway. Only because they're being farmed doesn't mean they are completely helpless without fans and things. All animals have physiological ways to regulate their body temperatures. if the Barn was designed uch that there is no way for any wind to come through, AND if the animals are forced to stay inthe barn, then there might be a problem, but I didn't read that in the scenario. ",Make the barn more breezy. ,2,3,3,3,3,4,48,1,1,7,2,2,1,2,2
4,5,4,"Everything seems fine to me. food, water and fans can't ask for more.",not much seems good to me maybe no antibiotics.,3,4,4,4,4,4,25,1,1,3,2,1,2,2,2
5,5,5,The cow's well-being seemed to be a concern for the farmers considering that the cows have adequate protection from the hot sun and a pasture to roam (mostly) freely. I would said that they were being cared for properly based on the information presented.,Nothing. The cows seem to have all the basic things that they need.,1,5,5,4,5,5,29,2,1,4,1,2,1,2,2
5,5,5,It sounds like whoever is caring for the cows do a great job at it and takes it seriously.,Make a completely covered area for all of the cows.,1,5,5,5,4,5,26,1,2,4,2,1,1,2,2
1,2,2,The cows' home is still probably cramped and they won't get any exercise. The worst part is how dairy cows are treated though.,For there not to be any livestock at all.,4,3,2,2,2,1,27,2,3,4,4,2,2,2,2
2,2,2,they're kept in a barn without fans. the air doesn't circulate to cool them on hot days. if i wouldn't want myself to live in that condition then i wouldn't want an animal to live like that either.,add fans to circulate the air and cool the barn,4,2,2,2,2,2,33,1,3,5,3,1,1,2,2
5,5,5,COWS IN A PASTURE WITH SHADE,FENCED AREA IS THERE WATER,1,5,3,5,5,5,55,2,2,5,5,1,1,1,1
5,5,5,It sounds as if the cows are well taken care of.,Make them stay indoors majority of the time.,5,5,5,4,4,5,53,2,3,2,4,1,1,2,2
1,1,1,"Based on the scenario, the cows are being treated poorly. They need proper temperatures and ventilation, and scheduled meal times.",I would give the cows free range on grassy hillsides.,4,2,2,1,1,2,57,2,1,5,5,2,1,2,2
4,5,4,I believe that compared to my knowledge of agriculture the cows are being treated fairly.,The process of the way the cows grazed.,4,5,4,4,2,4,22,1,1,2,2,1,1,1,1
3,4,4,"It seems pretty reasonable, taking into consideration the fact that we are going to keep cows confined anyway. ",More shaded area for the cows to use. ,3,3,4,4,1,4,37,1,3,3,1,2,1,2,2
5,5,5,"i like the way the crows are cared for, they are kelpt in a nice cool place were they won't suffer from the heat, and they have free rain to food to eat",i would fix the barn  so the cows wouldn't get that wet when it rains,1,5,5,5,5,5,55,1,1,2,3,2,1,2,1
5,4,4,"Cows generally are raised in a barn, with access to a pasture.  Before this box, I assumed a pasture and exercise was made available to the cows.  I agree that is hows cows should be raised.",size of pasture,2,4,4,4,4,4,58,2,3,4,6,2,1,1,1
4,4,3,n/a,The cow's living conditions.,4,4,2,4,3,3,19,1,1,3,7,1,2,1,1
2,2,2,"I think the dairy industry itself is bad; even though their life sounds OK if I need to drink milk (which I don't, because I'm lactose intolerant) I'd want it to be from a pet cow","No barn confinement, free reign with barn as option for cows to enter",3,3,2,2,2,2,22,2,3,5,1,2,2,2,2
1,1,1,I don't eat meat or dairy but I feel if you are going to the animals should be given a good life and be cared for properly while they are alive.,Let the cows go outside.,5,2,1,1,1,2,47,2,1,5,4,2,1,2,1
4,4,4,They have free access to food and they aren't suffering form heat stress so it sounds okay given the limited information.,No idea.,2,4,4,4,4,4,31,1,1,5,3,2,2,2,2
4,1,4,the cows are kept in a grass with shade for hot days,they could go inside,2,4,4,4,5,4,22,2,3,5,2,2,1,2,2
2,2,2,I think the cows should have fans in the barn ,Add fans to the farm ,4,2,2,2,4,2,46,1,2,3,4,2,1,2,2
4,4,4,"Sounds normal, sounds fine, nothing stressful, nothing untoward happening here.",More cows,2,4,4,4,5,4,31,1,3,6,3,2,2,2,2
4,3,3,not ordinary ,produce only organic food.,3,2,4,3,3,3,23,1,3,2,2,1,2,1,2
2,2,3,It seems the treatment of the cows are cruel but not knowing the kind of climate they are in it may be very appropriate how they are treated.,Plant trees or put up canopies to be on the safe side,3,3,3,4,3,4,56,1,1,5,5,1,1,2,2
4,4,4,Cows are made to graze in the sun. They are animals/,Make sure they have plenty of food and water..,2,4,4,4,4,4,37,2,2,3,5,1,2,1,1
3,2,3,I don't know enough about dairy farming to have a strong opinion.  I'd lean slightly against the conditions since they seemed cooped up and ignored a bit.,"Perhaps giving them access to open space once in a while, ie being allowed to be taken out.",5,2,2,2,2,2,34,1,2,5,1,2,2,2,1
2,2,2,"In my opinion, the cows should have outside access and be able to graze in grassy fields for at least part of each day. I do not believe it is healthy for the cows to be kept in a barn all day.",I would allow the cows to be outside for part of each day.,4,2,2,2,2,2,46,2,2,6,4,2,1,2,1
2,2,2,The cows should be able to have shade so they don't get overheated.,I would provide them with a shaded area to go to .,4,3,2,3,4,3,51,2,2,3,4,2,2,2,2
5,5,5,They're allowed plenty of land to graze on and have adequate shade,"increase more shade areas for them, different types of food for them",5,5,5,5,5,5,28,2,2,5,1,2,1,1,1
4,3,2,I feel the cows could be in better conditions. No animal should die due to it's living conditions under human watch.,I would make more room for the animals and install some sort of cooling in areas that the animals tend to overheat.,2,2,2,2,2,2,24,2,3,2,2,2,2,2,2
4,5,5,They have a place to graze without suffering which I find good.,Attendants for each cow.,2,5,5,5,4,5,28,1,1,5,3,1,2,2,2
4,5,5,"There too few facts to make a complete judgment but based on what was given, it seems to be an appropriate environment. ",More shade and access to a pond.,1,4,5,5,5,4,33,1,2,5,6,2,2,1,1
2,3,4,Shade trees should be available in a pasture setting.,Add shade trees.,4,3,2,4,3,4,36,2,3,2,2,2,1,1,1
5,5,5,It seemed liked the cows were treated humanely from the description given.,More space for cows to wander outside.,2,4,4,5,2,4,31,1,1,6,5,1,1,2,1
4,4,4,"I don't believe that the cows never leave the room in this scenario.  If this is the case, this is significantly worse.  However, when they are kept inside, these are fine conditions.",Free information about the outside time they have.,3,2,3,3,2,3,27,1,1,3,2,2,2,2,2
2,2,2,Cows need a way to cool themselves. The farmer should install fans to cool them or let them roam the pasture and have shallow ponds to cool in.,I would install fans and have the cows watered down in the barn to cool them on hot days.,4,2,2,2,1,4,37,2,3,2,1,2,1,2,2
2,2,2,"Most animals need shade, I mean the cows being on a pasture is good but the lack of shade is concerning and we as humans know how hot and sun beating down on our skin. But cows have fur which is even hotter for them. They need shade, hopefully they have water too.","Plant a good amount of tree, many water troughs under or close to the shade of the trees, have shed for sun cover if they can't get trees.",4,2,2,2,3,2,24,2,2,4,1,1,1,1,1
4,4,4,they have shelter from the sun,add more trees,2,4,4,4,4,4,38,2,3,2,5,1,1,2,2
3,3,3,some farmers need to save money,nothing,2,3,3,3,5,4,34,1,2,4,3,1,1,1,1
2,2,2,I feel it is not humane to keep them in hot area with no circulation.,Keep the cows in a place they can keep cool.,4,2,3,3,3,3,39,2,2,4,4,1,2,1,2
2,2,2,It is unacceptable because the cows are forced to live beyond their levels of safe comfort. The fact that they are raised for dairy production has no bearing on whether or not they should or should not be comfortable. They should be comfortable because they are living.,"Provide shelter from the sun, where the cows can go themselves, to get out of the direct sun.",4,2,2,2,2,2,39,1,2,5,3,1,1,2,1
3,3,3,"I didn't receive enough information to be able to make an informed judgment about the cows' living conditions. All I know is they have shade when they're outside; I don't know what the rest of the pasture looks like or what inside living spaces they have, if any. I am also completely unfamiliar with dairy farming so I don't even know what's good and what isn't.",I'm sorry but I didn't receive enough information about this situation to be able to answer this question.,3,3,3,3,3,3,63,2,1,5,1,2,2,2,2
2,2,2,I simply felt the dairy cows are being cheated unfairly and not being raised properly. ,The living conditions for the animals.,3,2,2,2,3,3,29,1,2,5,3,2,2,1,1
3,5,4,Cows being raised in a barn with some things to keep them happy like fans to prevent heat stress.,Proper equipment for the cows.,3,4,3,3,2,4,27,1,2,5,3,2,1,2,2
4,4,4,they have room to graze and a place to catch some shade so they will be fine,more room to roam,2,4,4,4,5,4,55,2,2,5,1,1,1,2,1
5,4,4,I think that it was interesting,Nothing,3,1,3,1,2,2,29,1,2,4,4,1,2,2,2
2,2,2,I believe the cows deserve better shelter and air conditioning on warm days.,"The cows would have air conditioning, not just a fan.",4,2,2,2,1,2,26,2,2,5,2,1,2,2,2
4,2,4,We should better care for our cattle ,Improve the stables,5,3,5,4,4,4,23,1,1,4,2,2,1,1,2
4,4,4,I feel that the cows on this farm are in a safe environment and are not subject to negligence.,I would allow the cows more room to graze.,1,4,5,4,4,4,25,1,1,5,4,2,1,2,1
4,4,4,seems to be adequate living conditions since the cows would be protected from adverse weather conditions,access to more food sources,3,3,4,3,3,3,33,1,1,6,4,1,2,2,2
5,5,5,"I like that the cows were in a pasture where they were able to roam and had ample shade from the sun, instead of being cooped up in a barn. ","I would provide more shelter options for the cows, and likely add more land for them to roam on. ",1,5,5,4,4,4,57,2,3,2,1,2,2,2,2
3,3,3,I do not really have an opinion on this matter. ,I wouldn't change a thing. ,2,3,3,3,3,4,25,1,1,3,4,2,1,1,1
2,2,2,It seems like an easily fixable problem to just install some ventilation.,Put some fans in.,4,3,2,2,1,4,30,1,2,2,1,2,1,2,2
2,2,2,"I don't  like the fact that the cows are subjected to the risk of ""heat stress""",Create a way for the barn to be cooler on hot days.,4,3,2,3,2,3,28,1,2,5,6,2,1,2,2
4,4,4,I think the cows are living in sarusfactoety conditions. ,Air conditioning. Maybe. ,2,4,4,4,4,4,37,1,2,5,4,1,1,2,2
1,1,2,I think that they are producing value by giving milk.  they deserve a healthy and comfortable environment to do so in.,Better temperature control so he cows can be comfortable.,4,2,2,2,2,2,26,1,3,3,4,1,2,2,1
2,1,2,"I like that the cows have fans and free access to food. But they are being kept in a barn, which is not optimal. They should be allowed to graze on grass and walk around outside. They could go into the barn if they're needing shade/shelter but the rest of the time they should be allowed to roam free.","The cows should be allowed to leave the barn and wander around outside, grazing and getting exercise.",5,1,1,2,1,2,35,2,2,8,6,1,2,1,1
1,1,1,The cows are suffering needlessly from a problem that seems to have an inexpensive solution (fan blowing),"Get some solar panels, use the energy to power some fans to keep the cows cool.",5,2,2,2,2,2,30,1,2,3,4,2,2,2,2
4,5,5,I like that the cows have an open pasture to live in and access to enough shade to keep cool on hot days. It seems as though their owners are taking care to maintain a comfortable life for them while they're being raised. ,Maybe a barn or other enclosed area where they could get completely out of the heat and sun. ,1,4,5,3,4,4,27,1,3,2,2,2,1,2,2
2,2,2,I think they should be allowed to go outside.  ,The cows should have access to a pasture.,4,2,2,2,2,2,35,2,2,5,3,1,1,1,1
1,1,1,Having the cows in a field with zero shade is completely unacceptable and could lead to monetary losses in the form of sick/dead cows.,I would either add shade trees or some kind of building to give them shade.,5,1,1,1,2,1,38,2,3,2,1,2,2,1,1
2,2,2,The cows should have more shade so they experience less heat stress.,There should be more trees planted on the farm.,4,3,2,3,3,3,24,2,2,4,2,1,1,1,1
5,5,5,"The cow are being well taken care of. They have shade, food and water. They live in a nice area it seems like","I wouldn't change anything
",1,5,5,5,5,5,38,2,2,3,4,1,2,2,1
1,1,1,the cows should not be in a condition that can potentially cause heat stress ,"i would make sure there were fans on the farm 
",4,1,1,2,1,3,25,1,2,3,2,1,1,2,2
2,1,2,"I think they need shade to cool down, as they can't sweat like humans to cool off... It is inhumane to have no shade, however, it is also good that they can move around in a pasture.",Have shade,4,3,3,3,4,4,23,1,3,5,2,2,2,1,2
4,4,4,"It sounds as though the cows are doing well, assuming they're let out occasionally to graze and walk and stuff",they'd get out to wander more,2,5,3,4,3,4,40,1,2,5,2,2,1,1,1
2,2,2,The farmer could at least plant a few trees for the cows.,That the farmer plant some trees for some shade.,4,2,2,2,3,2,30,2,1,6,5,2,2,2,2
2,2,2,They should not be subjected to heat distress due to lack of ventilation/fans.,"Either access to roam (i.e. escape a ""hot box"") or proper ventilation/cooling.",3,2,2,3,3,2,27,2,2,4,1,1,1,1,1
5,5,5,it seems like a natural setting for cows to be in.,make sure they have plenty of space per cow,1,5,5,5,5,5,46,2,2,4,6,2,1,2,1
4,4,4,I'm fine with cows living in barns under proper conditions.,Free milk!,3,3,3,3,2,3,42,1,2,4,5,1,2,2,2
5,5,5,"It seems good, the cows have a large open area to roam and graze, and there is clearly some thought going into keeping them happy and healthy with the shaded areas.",Adding a place to drink water in the shaded area.,1,5,5,5,5,5,23,2,2,3,1,2,1,2,1
2,2,2,"It seems to me that if you are the steward of animals, pets or otherwise, it is up to you to see to their healthy environment.","That the cattle can roam outside the barn and that shade, water, and food are available. In the minimum, there must be ventilation in the barn.",4,2,2,2,2,2,71,1,2,7,5,2,2,1,2
4,3,4,They are just cows,Nothing,4,3,3,3,4,3,31,2,2,6,6,1,1,2,1
3,3,3,I don't have a strong opinion because I don't have enough information.,Allow the cows to roam if possible.,3,3,3,3,2,3,32,2,1,5,4,2,1,2,2
5,5,5,"Cows are in a pasture, with some portion shaded by trees. This sounds like the most ideal pasture accommodations for animals. They are living creatures that suffer from excessive heat - just like humans - and domesticated animals should ALWAYS be afforded some way to escape excessive weather conditions.",Make sure they have sufficient access to fresh water.,2,5,5,5,5,5,67,2,2,3,1,2,2,2,2
2,2,2,"I do not believe it is humane to keep any animals under a stressful situation, regardless of what they are being utilized for.","I would want the cows to have a shaded enclosure for hot days, so as not to get sunburn or heat stroke.",4,3,2,2,2,3,27,2,1,6,1,2,1,2,2
1,1,1,It's horrible that they are raised in these conditions. ,I would make sure their living conditions were better.,4,2,2,1,4,2,39,2,2,4,4,1,2,2,2
1,1,1,Overheating causes undue stress to animals and this is wrong,climate control the environment,4,2,2,2,2,2,27,2,2,5,4,1,1,2,2
4,4,4,They are being raised to graze in a pasture and are shaded during the heat.,A bigger field for the cattle or cows to occupy.,3,4,4,4,5,4,54,2,1,5,1,2,1,2,2
2,2,2,"Even though cows are usually bred for milk or meat, it does not mean they should suffer during their life.  Dying of heat exhaustion would be a cruel and painful way to die.",At least include shade for the animals so they are not constantly exposed to the sun.,4,2,2,2,3,3,34,1,3,5,4,1,1,2,2
5,5,5,"They are kept in a shaded pasture, sounds fair to me. I don't see what would be unfair about it ",Just a more concrete guarantee that they won't get heat stroke,1,4,4,4,4,4,22,2,2,4,6,1,1,1,1
4,3,4,Cows are kept in a barn and fed.,Let the cows move freely.,2,5,4,4,4,4,34,2,2,5,4,2,2,2,1
5,5,5,The cows are being treated well.  They get the food they need.  They are protected from the weather.  The fans in the barn provide relief from the heat.,That the cows could be outside when the weather allowed them.,1,4,4,4,3,4,53,1,2,5,2,2,1,2,1
1,1,1,I am uncertain if cows free feeding is totally good for them and I am certain that keeping cattle without proper ventilation is not good for them.,Proper and regular ventilation.,5,2,1,2,1,2,55,2,1,7,7,2,1,2,2
4,4,4,It is one of the considerable idea to establish the situation,Nothig,4,4,4,4,4,3,43,1,1,5,5,2,2,2,2
1,1,2,Cows should not be exposed to these conditions,Build a barn so cows can go inside in the shade,5,1,2,1,2,1,22,2,1,5,4,2,1,2,2
4,5,4,"As long as these cows are being raised as humanely as possible, for me, it is okay. It is just right to provide them the comfort they need because it is also us humans who benefit from the dairy they produce.","It did not really mention how large the barn was so if they can provide more space for the cows to move around better to lessen the stress from being inside the enclosure, I think that would be great.",3,4,4,4,3,4,27,1,2,5,4,2,2,2,2
4,2,4,"I don't like the fact that the animals (cows) can suffer from heat exposure. However, I believe it is better than suffering by being constantly locked up. ",Provide some shaded area for the cows.,3,4,4,4,4,4,29,2,2,6,3,2,2,2,2
1,1,1,Animals shouldn't be used as products. They are living creatures who deserve liberation. ,No dairy farm,5,1,1,1,1,1,24,2,1,6,6,2,2,2,2
4,4,4,"Based on the scenario presented, it appears as if the cows are being treated in a very humane way.  They are allowed freedom to acquire food, and are kept cool on hot days by fans.  The limited information provided makes me feel as though they are being treated properly.",I would say that the cows are allowed to grave in an open field where they are free to roam as they please.,2,4,4,4,4,4,40,1,1,5,3,2,2,2,2
1,1,1,They need to have access to fresh air.,Have access to fresh air.,4,2,1,2,1,2,30,2,1,3,2,2,2,2,1
4,4,4,it seems like they are being housed and fed properly.,more room for the cows to roam,3,3,3,3,2,3,32,2,2,5,5,2,1,1,2
3,2,3,"I think that it would be preferable if the cows had shade.  However, it's much better that they are on pasture versus living in a barn or in confined corrals between milkings.","Add shade near the pasture so the cows could have shade.  Otherwise, it seems okay from the limited information provided.",2,4,4,4,4,4,52,1,2,5,1,2,2,2,2
4,4,4,I don't care too much for animal rights so I'd say the cows are living an acceptable life.,"Not much, I'd prefer efficiency.",3,3,4,3,4,4,20,1,3,3,3,2,1,2,1
1,1,2,A herd of dairy cows are being kept in a pasture that has no shade and they can develop heat stress.,Plant some trees or buildings that would provide shade.,4,1,1,2,2,1,59,2,2,5,3,1,1,1,1
1,1,1,It is inhumane for the cows to be kept in a pasture with no shade to relieve them from the heat. I think that's disgusting to treat animals that way.,Provide shade for the cows to get out of the sun when they need to.,5,1,1,1,2,2,43,2,3,5,4,2,1,2,2
3,5,5,"As far as the scenario goes, it seems like the cows lead a decent life. I would have to know more before I made a complete judgement.",I don't know.,3,3,4,4,4,4,42,2,1,5,5,2,2,2,2
2,5,5,It sounds like a good scenario. As long as they are not super close together. Then their body heat might cause them to get to hot.,I would make it a free range and grass fed farm.,4,2,2,3,2,3,27,1,2,5,5,2,2,2,2
5,5,5,"It appears the cows are being raised in comfortable conditions and therefore, I approve.",I would possibly change the size of the pasture to make it larger.,2,3,4,3,4,4,31,1,2,3,3,1,1,2,1
3,2,2,Cows need to be treated better on farms. They're not just meat.,To make it animal friendly.,2,4,3,4,4,3,31,1,1,3,1,2,2,2,1
3,3,3,"I don't have a strong opinion about this. I'm not sure how much animals feel pain and suffer, so I don't have a strong answer.",Put fans in the barns,3,3,3,3,2,4,40,2,3,2,4,2,2,2,2
1,2,1,This is an unnacceptable way to treat any animal. There's no excuse not to provide any type of shade under these conditions.,I would make sure the cows have access to shade and water so that they can keep cool.,5,2,2,2,1,2,40,1,2,5,5,2,1,2,1
4,4,4,"Cows are mainly raised for their meat so unless one is being kept as a pet, suitable conditions should be just fine.",Pet the cows once in a while.,2,4,4,4,2,4,28,1,3,5,3,2,1,2,2
4,2,5,"You are imprisoning the dairy cows, that is not good, but at least they don't suffer from heat. It would be nice to release them every once in a while.",There is no barn and the cows can roam.,2,3,4,4,2,4,21,1,2,5,6,1,1,1,1
4,4,4,The cows are being made to feel comfortable. ,Give them lots of exercise,2,3,4,4,3,4,36,2,3,6,6,2,1,1,1
2,3,2,The cows should have some kind of shade providing structure,Add shade providing structures,3,4,3,3,4,3,32,1,2,4,6,2,1,1,2
3,2,3,I think the fact we cage animals for our own gain is the real problem regardless of the situation.,at least make their cage not a heat box,5,2,2,2,1,3,22,1,1,4,2,1,1,2,2
2,2,2,I wish people would treat animals as if they're living creatures.,Put trees or shelters for shade.,4,3,2,3,2,3,25,2,2,5,3,2,1,2,2
2,2,2,i think if you are going to keep cows on your farm you need to make it comfortable for them to live,make it comfortable for them,3,2,2,2,3,2,39,2,2,2,1,1,1,2,2
4,5,4,"The cows are allowed to roam in an area specifically for them to graze, which is well-shaded to protect them in heat. This seems like a good environment for them.",There would be barns for them to sleep in at night.,2,4,4,4,4,4,67,2,2,5,3,2,2,2,2
1,1,1,Cows should always have a shaded area where they can escape from excessive heat. I don't know of any farm that raises cows where this isn't the case. Any less is animal cruelty.,Build a shelter for the cows so they can escape from midday heat when they need to.,5,1,1,2,2,2,27,1,2,4,1,1,2,2,2
1,1,2,"No animal of which is being asked to provide for us should suffer at our hands. As moral citizens, we should provide as comfortable a life as possible to the cows.",Install fans.,4,2,2,2,2,2,28,2,2,5,1,2,2,1,2
4,3,2,I feel that cows are being mistreated.,I would improve the conditions the cows are living in.,4,1,3,1,2,2,28,1,1,3,3,2,1,2,2
5,5,5,The cows should be okay. They are in a shaded area. ,Maybe a barn they can go in.,1,4,4,4,5,4,57,2,2,3,1,1,2,1,1
3,2,3,I don't know very much about dairy farming so I'm not certain if this treatment is unacceptable or common behavior,That the cows had a more shaded area so they didn't experience heat stress,3,3,3,3,3,3,31,2,1,3,6,1,2,2,2
3,4,3,It didn't seem too bad. I would need to see the environment first to understand what is really happening.,No comment,2,2,4,3,2,2,37,1,2,6,6,1,1,2,2
4,4,5,Dairy cattle are a domesticated animal that only thrive with constant human care.  The scenario seems just fine to me.,The cattle could occasionally be taken out of the barn to move around more.,2,3,4,4,2,5,54,2,3,5,4,2,1,2,2
